starttime	seconds	ctime	dtime	ttime	wait
Wed Oct 16 17:31:07 2019	1571243467	20	19	39	18
Wed Oct 16 17:31:07 2019	1571243467	21	20	41	19
Wed Oct 16 17:31:05 2019	1571243465	19	21	41	21
Wed Oct 16 17:31:06 2019	1571243466	20	22	42	22
Wed Oct 16 17:31:04 2019	1571243464	21	21	42	20
Wed Oct 16 17:31:08 2019	1571243468	20	23	42	22
Wed Oct 16 17:31:04 2019	1571243464	20	23	43	22
Wed Oct 16 17:31:07 2019	1571243467	21	22	43	22
Wed Oct 16 17:31:04 2019	1571243464	22	21	43	20
Wed Oct 16 17:31:08 2019	1571243468	20	23	43	22
Wed Oct 16 17:31:04 2019	1571243464	22	21	43	20
Wed Oct 16 17:31:05 2019	1571243465	22	21	44	21
Wed Oct 16 17:31:07 2019	1571243467	21	23	44	22
Wed Oct 16 17:31:08 2019	1571243468	20	24	44	23
Wed Oct 16 17:31:05 2019	1571243465	22	22	44	22
Wed Oct 16 17:31:07 2019	1571243467	20	24	44	23
Wed Oct 16 17:31:06 2019	1571243466	20	24	44	23
Wed Oct 16 17:31:04 2019	1571243464	20	24	44	23
Wed Oct 16 17:31:07 2019	1571243467	22	23	45	22
Wed Oct 16 17:31:02 2019	1571243462	21	24	45	24
Wed Oct 16 17:31:04 2019	1571243464	22	24	45	23
Wed Oct 16 17:31:05 2019	1571243465	21	24	45	24
Wed Oct 16 17:31:07 2019	1571243467	22	24	45	23
Wed Oct 16 17:31:02 2019	1571243462	22	23	46	23
Wed Oct 16 17:31:06 2019	1571243466	22	24	46	23
Wed Oct 16 17:31:05 2019	1571243465	19	26	46	26
Wed Oct 16 17:31:04 2019	1571243464	22	24	46	23
Wed Oct 16 17:31:04 2019	1571243464	23	23	46	22
Wed Oct 16 17:31:06 2019	1571243466	24	22	46	21
Wed Oct 16 17:31:03 2019	1571243463	22	24	46	23
Wed Oct 16 17:31:04 2019	1571243464	24	23	47	22
Wed Oct 16 17:31:07 2019	1571243467	21	26	47	25
Wed Oct 16 17:31:08 2019	1571243468	23	24	47	24
Wed Oct 16 17:31:07 2019	1571243467	21	27	47	26
Wed Oct 16 17:31:07 2019	1571243467	25	24	49	23
Wed Oct 16 17:31:04 2019	1571243464	23	27	50	26
Wed Oct 16 17:31:07 2019	1571243467	22	28	50	28
Wed Oct 16 17:31:06 2019	1571243466	22	28	50	27
Wed Oct 16 17:31:06 2019	1571243466	21	31	52	19
Wed Oct 16 17:31:04 2019	1571243464	19	33	52	33
Wed Oct 16 17:31:04 2019	1571243464	26	27	53	26
Wed Oct 16 17:31:02 2019	1571243462	29	24	53	23
Wed Oct 16 17:31:04 2019	1571243464	29	24	53	23
Wed Oct 16 17:31:06 2019	1571243466	20	33	53	32
Wed Oct 16 17:31:06 2019	1571243466	21	32	54	32
Wed Oct 16 17:31:07 2019	1571243467	23	31	54	30
Wed Oct 16 17:31:07 2019	1571243467	22	32	54	32
Wed Oct 16 17:31:02 2019	1571243462	22	32	54	31
Wed Oct 16 17:31:05 2019	1571243465	33	23	55	22
Wed Oct 16 17:31:07 2019	1571243467	21	35	56	34
Wed Oct 16 17:31:05 2019	1571243465	32	24	56	23
Wed Oct 16 17:31:03 2019	1571243463	33	23	56	22
Wed Oct 16 17:31:08 2019	1571243468	21	36	57	36
Wed Oct 16 17:31:08 2019	1571243468	30	27	57	26
Wed Oct 16 17:31:05 2019	1571243465	21	37	57	36
Wed Oct 16 17:31:05 2019	1571243465	31	26	58	26
Wed Oct 16 17:31:06 2019	1571243466	32	26	58	26
Wed Oct 16 17:31:04 2019	1571243464	36	23	59	22
Wed Oct 16 17:31:08 2019	1571243468	20	39	59	38
Wed Oct 16 17:31:06 2019	1571243466	26	32	59	32
Wed Oct 16 17:31:06 2019	1571243466	37	22	59	22
Wed Oct 16 17:31:04 2019	1571243464	24	36	59	35
Wed Oct 16 17:31:07 2019	1571243467	37	22	59	22
Wed Oct 16 17:31:06 2019	1571243466	37	23	60	21
Wed Oct 16 17:31:05 2019	1571243465	21	39	60	38
Wed Oct 16 17:31:03 2019	1571243463	37	22	60	22
Wed Oct 16 17:31:02 2019	1571243462	22	38	60	38
Wed Oct 16 17:31:02 2019	1571243462	22	38	60	37
Wed Oct 16 17:31:06 2019	1571243466	22	39	61	39
Wed Oct 16 17:31:07 2019	1571243467	39	22	61	21
Wed Oct 16 17:31:04 2019	1571243464	25	36	61	35
Wed Oct 16 17:31:08 2019	1571243468	22	39	61	38
Wed Oct 16 17:31:07 2019	1571243467	21	40	61	40
Wed Oct 16 17:31:06 2019	1571243466	19	42	61	41
Wed Oct 16 17:31:04 2019	1571243464	22	39	61	39
Wed Oct 16 17:31:08 2019	1571243468	20	42	61	41
Wed Oct 16 17:31:08 2019	1571243468	20	42	62	41
Wed Oct 16 17:31:04 2019	1571243464	21	40	62	40
Wed Oct 16 17:31:06 2019	1571243466	37	25	62	24
Wed Oct 16 17:31:05 2019	1571243465	38	24	62	24
Wed Oct 16 17:31:05 2019	1571243465	22	41	62	40
Wed Oct 16 17:31:04 2019	1571243464	41	22	63	21
Wed Oct 16 17:31:05 2019	1571243465	22	43	65	42
Wed Oct 16 17:31:05 2019	1571243465	22	43	65	42
Wed Oct 16 17:31:07 2019	1571243467	30	35	65	35
Wed Oct 16 17:31:08 2019	1571243468	37	28	65	28
Wed Oct 16 17:31:08 2019	1571243468	21	45	66	44
Wed Oct 16 17:31:05 2019	1571243465	22	46	68	46
Wed Oct 16 17:31:03 2019	1571243463	22	48	69	47
Wed Oct 16 17:31:02 2019	1571243462	23	47	70	46
Wed Oct 16 17:31:03 2019	1571243463	43	28	71	27
Wed Oct 16 17:31:05 2019	1571243465	39	32	71	32
Wed Oct 16 17:31:06 2019	1571243466	39	35	74	34
Wed Oct 16 17:31:03 2019	1571243463	23	51	74	50
Wed Oct 16 17:31:07 2019	1571243467	36	48	84	46
Wed Oct 16 17:31:08 2019	1571243468	31	61	91	59
Wed Oct 16 17:31:05 2019	1571243465	20	73	94	73
Wed Oct 16 17:31:06 2019	1571243466	72	42	113	41
Wed Oct 16 17:31:03 2019	1571243463	22	622	644	621
Wed Oct 16 17:31:01 2019	1571243461	23	711	734	711
